18:06:48.896 WindowManager                  trimMemory level: 15
18:06:50.525                                [DetectViewsLocationRunner] lazyMode:
18:06:50.525                                [DetectViewsLocationRunner] current mode is full screen
18:06:50.580 LogUtil                        [ПРОЦЕСС] MediaStoreObserver: обнаружено изменение в MediaStore: content://media/external/images/media/265831, обработка через 10 сек
18:06:50.580                                [ПРОЦЕСС] MediaStoreObserver: предыдущая задача для content://media/external/images/media/265831 отменена
18:06:50.581 HwViewRootImpl                 [DetectViewsLocationRunner] start to getViewHierarchy
18:06:50.583                                [DetectViewsLocationRunner] deviceOrientation: 0
18:06:50.583                                [DetectViewsLocationRunner-ScreenDirection] ROTATION_0
18:06:50.583                                [DetectViewsLocationRunner] get views' rect = 4, SCENE_GESTURE_SINGLE_TAP#1013,196,1169,351#51,1436,423,1591#423,1436,796,1591#796,1436,1169,1591
18:06:50.698 LogUtil                        [ПРОЦЕСС] Пакетное получение метаданных завершено: 6 URI, 6 запросов к MediaStore
18:06:50.759                                [ПРОЦЕСС] MediaStoreObserver: обнаружено изменение в MediaStore: content://media/external/images/media/265829, обработка через 10 сек
18:06:50.759                                [ПРОЦЕСС] MediaStoreObserver: предыдущая задача для content://media/external/images/media/265829 отменена
18:06:51.081                                [ПРОЦЕСС] ImageDetectionJobService: onStartJob вызван
18:06:51.081                                [ПРОЦЕСС] ImageDetectionJobService: получено 2 URI для обработки
18:06:51.084                                [ПРОЦЕСС] ImageDetectionJobService: добавлены 2 URI к батчу, общий размер: 2
18:06:51.134 ContentResolver                provider != null. Start to getTypeAsync:content://media/external/images/media/265829
18:06:51.493                                provider != null. Start to getTypeAsync:content://media/external/images/media/265824
18:06:51.505                                provider != null. Start to getTypeAsync:content://media/external/images/media/265824
18:06:51.509 LogUtil                        [ПРОЦЕСС] Пакетное получение метаданных завершено: 198 URI, 198 запросов к MediaStore
18:06:51.510                                [ПРОЦЕСС] URI из кэша: content://media/external/images/media/265824 -> true
18:06:52.559                                [ПРОЦЕСС] PerformanceMonitor: Cache miss - EXIF
18:06:52.559                                [ПРОЦЕСС] MediaStoreObserver: обнаружено изменение в MediaStore: content://media/external/images/media/265834, обработка через 10 сек
18:06:52.559                                [ПРОЦЕСС] MediaStoreObserver: предыдущая задача для content://media/external/images/media/265834 отменена
18:06:52.561 ContentResolver                provider != null. Start to getTypeAsync:content://media/external/images/media/265829
18:06:52.610                                provider != null. Start to getTypeAsync:content://media/external/images/media/265824
18:06:52.682 LogUtil                        [ПРОЦЕСС] PerformanceMonitor: Cache miss - EXIF
18:06:52.683 ContentResolver                provider != null. Start to getTypeAsync:content://media/external/images/media/265824
18:06:52.767                                provider != null. Start to getTypeAsync:content://media/external/images/media/265824
18:06:52.781 LogUtil                        [ПРОЦЕСС] EXIF-данные закэшированы для content://media/external/images/media/265829
18:06:52.847                                [ПРОЦЕСС] EXIF-данные закэшированы для content://media/external/images/media/265824
18:06:52.917                                [ПРОЦЕСС] URI из кэша: content://media/external/images/media/265825 -> true
18:06:53.086                                [ПРОЦЕСС] ImageDetectionJobService: начинаем обработку дебаунсного батча из 2 URI
18:06:53.086                                [ПРОЦЕСС] PerformanceMonitor: Debounced batch processed with 2 items
18:06:53.093                                [ПРОЦЕСС] URI из кэша: content://media/external/images/media/265829 -> true
18:06:53.093                                [ПРОЦЕСС] URI из кэша: content://media/external/images/media/265831 -> true
18:06:53.203                                [ПРОЦЕСС] EXIF-данные получены из кэша для content://media/external/images/media/265824
18:06:53.203                                [ПРОЦЕСС] PerformanceMonitor: Cache hit - EXIF
18:06:53.203                                [ПРОЦЕСС] URI из кэша: content://media/external/images/media/265825 -> true
18:06:53.224                                [ПРОЦЕСС] Пакетное получение метаданных завершено: 2 URI, 2 запросов к MediaStore
18:06:53.225                                [ПРОЦЕСС] ImageDetectionJobService: оптимизированная пакетная обработка 2 URI (из 2 изначально)
18:06:53.364 ContentResolver                provider != null. Start to getTypeAsync:content://media/external/images/media/265831
18:06:53.547                                provider != null. Start to getTypeAsync:content://media/external/images/media/265825
18:06:53.548                                provider != null. Start to getTypeAsync:content://media/external/images/media/265825
18:06:53.552 LogUtil                        [ПРОЦЕСС] MediaStoreObserver: обнаружено изменение в MediaStore: content://media/external/images/media/265838, обработка через 10 сек
18:06:53.553                                [ПРОЦЕСС] MediaStoreObserver: предыдущая задача для content://media/external/images/media/265838 отменена
18:06:53.895 ContentResolver                provider != null. Start to getTypeAsync:content://media/external/images/media/265825
18:06:53.904 LogUtil                        [ПРОЦЕСС] Предзагружен кэш для 1 директорий (2 файлов)
18:06:53.906                                [ПРОЦЕСС] ImageDetectionJobService: после быстрой фильтрации осталось 2 из 2 URI
18:06:53.908                                [ПРОЦЕСС] ImageDetectionJobService: обработка URI: content://media/external/images/media/265829
18:06:53.908                                [ПРОЦЕСС] URI из кэша: content://media/external/images/media/265829 -> true
18:06:53.910                                [ПРОЦЕСС] ImageDetectionJobService: обработка URI: content://media/external/images/media/265831
18:06:53.911                                [ПРОЦЕСС] URI из кэша: content://media/external/images/media/265831 -> true
18:06:54.593                                [ПРОЦЕСС] EXIF-данные получены из кэша для content://media/external/images/media/265829
18:06:54.600                                [ПРОЦЕСС] URI из кэша: content://media/external/images/media/265831 -> true
18:06:54.601                                [ПРОЦЕСС] URI из кэша: content://media/external/images/media/265829 -> true
18:06:54.745                                [ПРОЦЕСС] PerformanceMonitor: Cache miss - EXIF
18:06:54.745 ContentResolver                provider != null. Start to getTypeAsync:content://media/external/images/media/265831
18:06:54.856                                provider != null. Start to getTypeAsync:content://media/external/images/media/265825
18:06:54.932                                provider != null. Start to getTypeAsync:content://media/external/images/media/265825
18:06:54.953 LogUtil                        [ПРОЦЕСС] EXIF-данные закэшированы для content://media/external/images/media/265831
18:06:54.954                                [ПРОЦЕСС] URI из кэша: content://media/external/images/media/265824 -> true
18:06:54.960 ContentResolver                provider != null. Start to getTypeAsync:content://media/external/images/media/265829
18:06:54.960 LogUtil                        [ПРОЦЕСС] PerformanceMonitor: Cache miss - EXIF
18:06:54.961 ContentResolver                provider != null. Start to getTypeAsync:content://media/external/images/media/265825
18:06:54.963                                provider != null. Start to getTypeAsync:content://media/external/images/media/265831
18:06:54.966 LogUtil                        [ПРОЦЕСС] EXIF-данные закэшированы для content://media/external/images/media/265825
18:06:55.652                                [ПРОЦЕСС] EXIF-данные закэшированы для content://media/external/images/media/265825
18:06:55.653                                [ПРОЦЕСС] URI из кэша: content://media/external/images/media/265827 -> true
18:06:55.695 ContentResolver                provider != null. Start to getTypeAsync:content://media/external/images/media/265824
18:06:55.898 LogUtil                        [ПРОЦЕСС] EXIF-данные получены из кэша для content://media/external/images/media/265829
18:06:55.898                                [ПРОЦЕСС] PerformanceMonitor: Cache hit - EXIF
18:06:55.900                                [ПРОЦЕСС] URI добавлен (safe): content://media/external/images/media/265829 из ImageDetectionJobService
18:06:55.904                                [ПРОЦЕСС] URI добавлен (safe): content://media/external/images/media/265829 из ImageProcessingUtil
18:06:55.905                                [ПРОЦЕСС] URI из кэша: content://media/external/images/media/265829 -> true
18:06:56.285 ContentResolver                provider != null. Start to getTypeAsync:content://media/external/images/media/265827
18:06:56.289                                provider != null. Start to getTypeAsync:content://media/external/images/media/265827
18:06:56.289 LogUtil                        [ПРОЦЕСС] MediaStoreObserver: обнаружено изменение в MediaStore: content://media/external/images/media/265841, обработка через 10 сек
18:06:56.291                                [ПРОЦЕСС] MediaStoreObserver: предыдущая задача для content://media/external/images/media/265841 отменена
18:06:56.743 ContentResolver                provider != null. Start to getTypeAsync:content://media/external/images/media/265827
18:06:56.745 LogUtil                        [ПРОЦЕСС] EXIF-данные получены из кэша для content://media/external/images/media/265831
18:06:56.745                                [ПРОЦЕСС] PerformanceMonitor: Cache hit - EXIF
18:06:56.745                                [ПРОЦЕСС] URI добавлен (safe): content://media/external/images/media/265831 из ImageDetectionJobService
18:06:56.746                                [ПРОЦЕСС] URI добавлен (safe): content://media/external/images/media/265831 из ImageProcessingUtil
18:06:56.746                                [ПРОЦЕСС] URI из кэша: content://media/external/images/media/265831 -> true
18:06:56.883                                [ПРОЦЕСС] EXIF-данные получены из кэша для content://media/external/images/media/265824
18:06:56.883                                [ПРОЦЕСС] PerformanceMonitor: Cache hit - EXIF
18:06:56.883                                [ПРОЦЕСС] URI из кэша: content://media/external/images/media/265825 -> true
18:06:56.889 ContentResolver                provider != null. Start to getTypeAsync:content://media/external/images/media/265829
18:06:56.921 LogUtil                        [ПРОЦЕСС] PerformanceMonitor: Cache miss - EXIF
18:06:56.921 ContentResolver                provider != null. Start to getTypeAsync:content://media/external/images/media/265827
18:06:56.938                                provider != null. Start to getTypeAsync:content://media/external/images/media/265825
18:06:56.943                                provider != null. Start to getTypeAsync:content://media/external/images/media/265831
18:06:56.944 LogUtil                        [ПРОЦЕСС] EXIF-данные получены из кэша для content://media/external/images/media/265829
18:06:56.944                                [ПРОЦЕСС] PerformanceMonitor: Cache hit - EXIF
18:06:56.945                                [ПРОЦЕСС] PerformanceMonitor: Cache miss - EXIF
18:06:56.945 ContentResolver                provider != null. Start to getTypeAsync:content://media/external/images/media/265827
18:06:56.945                                provider != null. Start to getTypeAsync:content://media/external/images/media/265827
18:06:56.965 LogUtil                        [ПРОЦЕСС] EXIF-данные закэшированы для content://media/external/images/media/265827
18:06:57.326                                [ПРОЦЕСС] Создан автобатч: auto_batch_1_1776611217325
18:06:57.347                                [СЖАТИЕ:5829] Запущена работа по сжатию для content://media/external/images/media/265829 с тегом compress_80979320 в батче auto_batch_1_1776611217325
18:06:57.347                                [ПРОЦЕСС] ImageDetectionJobService: запрос на обработку изображения отправлен: content://media/external/images/media/265829
18:06:57.393 WM-SystemJobScheduler          Scheduling work ID fb56c17e-93a8-4a9e-8c79-1001cafb8e30Job ID 4612
18:06:57.409 WM-GreedyScheduler             Starting work for fb56c17e-93a8-4a9e-8c79-1001cafb8e30
18:06:57.418 WM-SystemJobService            onStartJob for WorkGenerationalId(workSpecId=fb56c17e-93a8-4a9e-8c79-1001cafb8e30, generation=0)
18:06:57.437 WM-Processor                   Processor: processing WorkGenerationalId(workSpecId=fb56c17e-93a8-4a9e-8c79-1001cafb8e30, generation=0)
18:06:57.457                                Work WorkGenerationalId(workSpecId=fb56c17e-93a8-4a9e-8c79-1001cafb8e30, generation=0) is already enqueued for processing
18:06:57.470 WM-WorkerWrapper               Starting work for com.compressphotofast.worker.ImageCompressionWorker
18:06:57.472 WM-PackageManagerHelper        androidx.work.impl.background.systemalarm.RescheduleReceiver enabled
18:06:57.490 LogUtil                        [ПРОЦЕСС] URI из кэша: content://media/external/images/media/265829 -> true
18:06:57.496 WM-Processor                   Moving WorkSpec (fb56c17e-93a8-4a9e-8c79-1001cafb8e30) to the foreground
18:06:57.527 WM-SystemFgDispatcher          Started foreground service Intent { act=ACTION_START_FOREGROUND cmp=com.compressphotofast/androidx.work.impl.foreground.SystemForegroundService (has extras) }
18:06:57.528                                Notifying with (id:1, workSpecId: fb56c17e-93a8-4a9e-8c79-1001cafb8e30, notificationType :1)
18:06:57.541                                Notifying with (id:1, workSpecId: fb56c17e-93a8-4a9e-8c79-1001cafb8e30, notificationType :1)
18:06:57.558 LogUtil                        [ПРОЦЕСС] Чтение EXIF данных из content://media/external/images/media/265829 в память (кэш не найден)
18:06:57.561                                [ПРОЦЕСС] EXIF-данные закэшированы для content://media/external/images/media/265827
18:06:57.562                                [ПРОЦЕСС] URI из кэша: content://media/external/images/media/265817 -> true
18:06:57.573                                [ПРОЦЕСС] EXIF-данные закэшированы для content://media/external/images/media/265827
18:06:57.573                                [ПРОЦЕСС] URI из кэша: content://media/external/images/media/265817 -> true
18:06:57.580                                [ПРОЦЕСС] MediaStoreObserver: обнаружено изменение в MediaStore: content://media/external/images/media/265845, обработка через 10 сек
18:06:57.580                                [ПРОЦЕСС] MediaStoreObserver: предыдущая задача для content://media/external/images/media/265845 отменена
18:06:57.581 ContentResolver                provider != null. Start to getTypeAsync:content://media/external/images/media/265817
18:06:57.596 LogUtil                        [РАЗРЕШЕНИЯ] 📋 ДИАГНОСТИКА РАЗРЕШЕНИЙ для content://media/external/images/media/265829:
18:06:57.597                                [ПРОЦЕСС] EXIF-данные получены из кэша для content://media/external/images/media/265825
18:06:57.597                                [ПРОЦЕСС] PerformanceMonitor: Cache hit - EXIF
18:06:57.598                                [ПРОЦЕСС] URI из кэша: content://media/external/images/media/265827 -> true
18:06:57.598                                [ПРОЦЕСС] EXIF-данные получены из кэша для content://media/external/images/media/265831
18:06:57.598                                [ПРОЦЕСС] PerformanceMonitor: Cache hit - EXIF
18:06:57.598                                [РАЗРЕШЕНИЯ]   - Android версия: 31 (12)
18:06:57.601                                [РАЗРЕШЕНИЯ]   - ACCESS_MEDIA_LOCATION: ✅ ПРЕДОСТАВЛЕНО
18:06:57.603                                [РАЗРЕШЕНИЯ]   - URI тип: MediaStore
18:06:57.604                                [ПРОЦЕСС] 🔍 GPS ИЗВЛЕЧЕНИЕ: Используем ExifInterface с поддержкой MediaStore.setRequireOriginal()
18:06:57.604                                [ПРОЦЕСС] 🔍 GPS результат: lat=55.75114059444444, lng=37.87966537472222
18:06:57.606                                [ПРОЦЕСС] ✅ GPS данные получены через ExifInterface: lat=55.75114059444444, lng=37.87966537472222
18:06:57.606                                [ПРОЦЕСС] 🕒 ПРОВЕРКА ДАТ: Проверяем наличие дат в EXIF и добавляем дату оцифровки при необходимости
18:06:57.607                                [ПРОЦЕСС] Найдена дата в теге DateTimeOriginal: 2026:04:19 18:06:31
18:06:57.607                                [ПРОЦЕСС] Даты уже присутствуют в EXIF, пропускаем добавление даты оцифровки
18:06:57.607                                [ПРОЦЕСС] Прочитано 39 EXIF-тегов, сохраняем в кэш
18:06:57.608                                [ПРОЦЕСС] URI из кэша: content://media/external/images/media/265829 -> true
18:06:57.693 ContentResolver                provider != null. Start to getTypeAsync:content://media/external/images/media/265817
18:06:57.694                                provider != null. Start to getTypeAsync:content://media/external/images/media/265817
18:06:57.699 LogUtil                        [ПРОЦЕСС] Используется существующий автобатч: auto_batch_1_1776611217325
18:06:57.702                                [СЖАТИЕ:5831] Запущена работа по сжатию для content://media/external/images/media/265831 с тегом compress_80979343 в батче auto_batch_1_1776611217325
18:06:57.702                                [ПРОЦЕСС] ImageDetectionJobService: запрос на обработку изображения отправлен: content://media/external/images/media/265831
18:06:57.703                                [ПРОЦЕСС] ImageDetectionJobService: обработка завершена. Обработано: 2, Пропущено: 0
18:06:57.703                                [ПРОЦЕСС] ImageDetectionJobService: начало планирования задания
18:06:57.703                                [ПРОЦЕСС] ImageDetectionJobService: состояние автоматического сжатия: включено
18:06:57.705 ContentResolver                provider != null. Start to getTypeAsync:content://media/external/images/media/265827
18:06:57.709 LogUtil                        [ПРОЦЕСС] ImageDetectionJobService: задание уже запланировано, пропускаем
18:06:57.714 WM-SystemJobScheduler          Scheduling work ID 31f131d9-4588-496b-a856-bc97c07399c4Job ID 4613
18:06:57.730 WM-GreedyScheduler             Starting work for 31f131d9-4588-496b-a856-bc97c07399c4
18:06:57.731 WM-SystemJobService            onStartJob for WorkGenerationalId(workSpecId=31f131d9-4588-496b-a856-bc97c07399c4, generation=0)
18:06:57.733 WM-Processor                   Processor: processing WorkGenerationalId(workSpecId=31f131d9-4588-496b-a856-bc97c07399c4, generation=0)
18:06:57.738                                Work WorkGenerationalId(workSpecId=31f131d9-4588-496b-a856-bc97c07399c4, generation=0) is already enqueued for processing
18:06:57.743 WM-WorkerWrapper               Starting work for com.compressphotofast.worker.ImageCompressionWorker
18:06:57.745 LogUtil                        [ПРОЦЕСС] URI из кэша: content://media/external/images/media/265831 -> true
18:06:57.752 WM-Processor                   Moving WorkSpec (31f131d9-4588-496b-a856-bc97c07399c4) to the foreground
18:06:57.759 WM-SystemFgDispatcher          Started foreground service Intent { act=ACTION_START_FOREGROUND cmp=com.compressphotofast/androidx.work.impl.foreground.SystemForegroundService (has extras) }
18:06:57.760 LogUtil                        [ПРОЦЕСС] PerformanceMonitor: Cache miss - EXIF
18:06:57.760 ContentResolver                provider != null. Start to getTypeAsync:content://media/external/images/media/265817
18:06:57.760 WM-SystemFgDispatcher          Notifying with (id:1, workSpecId: 31f131d9-4588-496b-a856-bc97c07399c4, notificationType :1)
18:06:57.764 LogUtil                        [ПРОЦЕСС] Чтение EXIF данных из content://media/external/images/media/265831 в память (кэш не найден)
18:06:57.774 WM-SystemFgDispatcher          Notifying with (id:1, workSpecId: 31f131d9-4588-496b-a856-bc97c07399c4, notificationType :1)
18:06:57.833 ContentResolver                provider != null. Start to getTypeAsync:content://media/external/images/media/265829
18:06:57.956 LogUtil                        [РАЗРЕШЕНИЯ] 📋 ДИАГНОСТИКА РАЗРЕШЕНИЙ для content://media/external/images/media/265831:
18:06:57.956                                [РАЗРЕШЕНИЯ]   - Android версия: 31 (12)
18:06:57.956                                [РАЗРЕШЕНИЯ]   - ACCESS_MEDIA_LOCATION: ✅ ПРЕДОСТАВЛЕНО
18:06:57.956                                [РАЗРЕШЕНИЯ]   - URI тип: MediaStore
18:06:57.956                                [ПРОЦЕСС] 🔍 GPS ИЗВЛЕЧЕНИЕ: Используем ExifInterface с поддержкой MediaStore.setRequireOriginal()
18:06:57.956                                [ПРОЦЕСС] 🔍 GPS результат: lat=55.75114059444444, lng=37.87966537472222
18:06:57.956                                [ПРОЦЕСС] ✅ GPS данные получены через ExifInterface: lat=55.75114059444444, lng=37.87966537472222
18:06:57.957                                [ПРОЦЕСС] 🕒 ПРОВЕРКА ДАТ: Проверяем наличие дат в EXIF и добавляем дату оцифровки при необходимости
18:06:57.957                                [ПРОЦЕСС] Найдена дата в теге DateTimeOriginal: 2026:04:19 18:06:32
18:06:57.957                                [ПРОЦЕСС] Даты уже присутствуют в EXIF, пропускаем добавление даты оцифровки
18:06:57.957                                [ПРОЦЕСС] Прочитано 39 EXIF-тегов, сохраняем в кэш
18:06:57.957                                [ПРОЦЕСС] URI из кэша: content://media/external/images/media/265831 -> true
18:06:58.254                                [ПРОЦЕСС] EXIF-данные закэшированы для content://media/external/images/media/265817
18:06:58.352                                [ПРОЦЕСС] EXIF-данные получены из кэша для content://media/external/images/media/265817
18:06:58.352                                [ПРОЦЕСС] PerformanceMonitor: Cache hit - EXIF
18:06:58.433                                [ПРОЦЕСС] EXIF-данные получены из кэша для content://media/external/images/media/265817
18:06:58.434                                [ПРОЦЕСС] PerformanceMonitor: Cache hit - EXIF
18:06:58.528                                [ПРОЦЕСС] EXIF-данные получены из кэша для content://media/external/images/media/265827
18:06:58.528                                [ПРОЦЕСС] PerformanceMonitor: Cache hit - EXIF
18:06:58.528                                [ПРОЦЕСС] URI из кэша: content://media/external/images/media/265817 -> true
18:06:58.782 ContentResolver                provider != null. Start to getTypeAsync:content://media/external/images/media/265831
18:06:58.821 LogUtil                        [ПРОЦЕСС] EXIF-данные получены из кэша для content://media/external/images/media/265829
18:06:58.821                                [ПРОЦЕСС] PerformanceMonitor: Cache hit - EXIF
18:06:58.821                                [ПРОЦЕСС] URI уже обрабатывается: content://media/external/images/media/265829
18:06:58.839 ContentResolver                provider != null. Start to getTypeAsync:content://media/external/images/media/265820
18:06:58.843                                provider != null. Start to getTypeAsync:content://media/external/images/media/265817
18:06:58.844 LogUtil                        [ПРОЦЕСС] Начато отслеживание URI: content://media/external/images/media/265829
18:06:58.853 ContentResolver                provider != null. Start to getTypeAsync:content://media/external/images/media/265820
18:06:58.866                                provider != null. Start to getTypeAsync:content://media/external/images/media/265820
18:06:58.873 LogUtil                        [URI:5829] Сжатие изображения в поток
18:06:58.873 ContentResolver                provider != null. Start to getTypeAsync:content://media/external/images/media/265829
18:06:59.096 LogUtil                        [ПРОЦЕСС] EXIF-данные получены из кэша для content://media/external/images/media/265831
18:06:59.096                                [ПРОЦЕСС] PerformanceMonitor: Cache hit - EXIF
18:06:59.096                                [ПРОЦЕСС] URI уже обрабатывается: content://media/external/images/media/265831
18:06:59.492                                [ПРОЦЕСС] Начато отслеживание URI: content://media/external/images/media/265831
18:06:59.577                                [ПРОЦЕСС] PerformanceMonitor: Cache miss - EXIF
18:06:59.578 ContentResolver                provider != null. Start to getTypeAsync:content://media/external/images/media/265820
18:06:59.694 LogUtil                        [ПРОЦЕСС] EXIF-данные получены из кэша для content://media/external/images/media/265817
18:06:59.694                                [ПРОЦЕСС] PerformanceMonitor: Cache hit - EXIF
18:06:59.695                                [ПРОЦЕСС] URI из кэша: content://media/external/images/media/265820 -> true
18:06:59.695                                [URI:5831] Сжатие изображения в поток
18:06:59.695 ContentResolver                provider != null. Start to getTypeAsync:content://media/external/images/media/265831
18:07:00.029 LogUtil                        [ПРОЦЕСС] PerformanceMonitor: Cache miss - EXIF
18:07:00.030 ContentResolver                provider != null. Start to getTypeAsync:content://media/external/images/media/265820
18:07:00.033 HwGalleryCacheManagerImpl      mIsEffect:false
18:07:00.057 LogUtil                        [ПРОЦЕСС] EXIF-данные закэшированы для content://media/external/images/media/265820
18:07:00.062                                [Сжатие] Размер изображения: 3000x4000, оценочный размер (ARGB_8888): 45MB
18:07:00.062                                [Bitmap decoding] inSampleSize = 1 (original: 3000x4000)
18:07:00.062                                [Сжатие] Оптимизированное декодирование: 3000x4000, inSampleSize=1
18:07:00.065                                [Сжатие] Оценочный размер: 22MB, экономия памяти: 50,0%
18:07:00.129                                [ПРОЦЕСС] EXIF-данные получены из кэша для content://media/external/images/media/265820
18:07:00.130                                [ПРОЦЕСС] PerformanceMonitor: Cache hit - EXIF
18:07:00.132                                [ПРОЦЕСС] MediaStoreObserver: обнаружено изменение в MediaStore: content://media/external/images/media/265850, обработка через 10 сек
18:07:00.133                                [ПРОЦЕСС] MediaStoreObserver: предыдущая задача для content://media/external/images/media/265850 отменена
18:07:00.144                                [Сжатие] Размер изображения: 3000x4000, оценочный размер (ARGB_8888): 45MB
18:07:00.144                                [Bitmap decoding] inSampleSize = 1 (original: 3000x4000)
18:07:00.144                                [Сжатие] Оптимизированное декодирование: 3000x4000, inSampleSize=1
18:07:00.145                                [Сжатие] Оценочный размер: 22MB, экономия памяти: 50,0%
18:07:00.153 ContentResolver                provider != null. Start to getTypeAsync:content://media/external/images/media/265820
18:07:00.159 LogUtil                        [ПРОЦЕСС] EXIF-данные закэшированы для content://media/external/images/media/265820
18:07:00.159                                [ПРОЦЕСС] URI из кэша: content://media/external/images/media/265821 -> true
18:07:00.732                                [Сжатие] Валидация JPEG прошла: 3000x4000
18:07:00.744                                [СЖАТИЕ:5831] 4089KB → 735KB (-82%)
18:07:00.745                                [СЖАТИЕ:5831] 4089KB → 735KB (-82.003105%)
18:07:00.762                                [ПРОЦЕСС] MediaStoreObserver: начинаем обработку URI content://media/external/images/media/265831 после задержки
18:07:00.863                                [Сжатие] Валидация JPEG прошла: 3000x4000
18:07:00.881                                [СЖАТИЕ:5829] 4374KB → 938KB (-78%)
18:07:00.881                                [СЖАТИЕ:5829] 4374KB → 938KB (-78.538795%)
18:07:01.046 ContentResolver                provider != null. Start to getTypeAsync:content://media/external/images/media/265821
18:07:01.157 LogUtil                        [ПРОЦЕСС] MediaStoreObserver: начинаем обработку URI content://media/external/images/media/265829 после задержки
18:07:01.158                                [ПРОЦЕСС] URI из кэша: content://media/external/images/media/265831 -> true
18:07:01.161                                [ПРОЦЕСС] [FileOperationsUtil] Режим замены включён, используем оригинальное имя: IMG_20260419_180632.jpg
18:07:01.166                                [ПРОЦЕСС] [FileOperationsUtil] Режим замены включён, используем оригинальное имя: IMG_20260419_180631_2.jpg
18:07:01.167 ContentResolver                provider != null. Start to getTypeAsync:content://media/external/images/media/265821
18:07:01.167                                provider != null. Start to getTypeAsync:content://media/external/images/media/265821
18:07:01.400 LogUtil                        [ПРОЦЕСС] EXIF-данные получены из кэша для content://media/external/images/media/265820
18:07:01.400                                [ПРОЦЕСС] PerformanceMonitor: Cache hit - EXIF
18:07:01.401                                [ПРОЦЕСС] URI из кэша: content://media/external/images/media/265821 -> true
